scenario,participants,turns
"Planning for a new construction project.,Construstion company","Zachary, Hannah, Caleb",18
"Updating personal information on a policy,Insurance company","Hannah, Olivia",12
"Attending a car detailing workshop,Car company","James, Rachel, Madison, Jacob, Jacob",20
"Discussing project communication and collaboration.,Construstion company","Kaitlyn, Andrew, Kevin, Alyssa, Alexandra",25
"Planning company-wide hackathon event,AI first Software company","Hannah, Brianna, Samantha, Christopher",12
"Presentation of quarterly financial reports,AI first Software company","Kaitlyn, Emily, Hannah",9
"Designing a functional laundry room for a family home,Interior Designing","Taylor, Michael, Caleb",18
"Choosing flooring options for a retail store,Interior Designing","Taylor, Samantha",8
"Developing drug distribution strategies,Pharmaceutical company","Daniel, Michael, Sarah, William, Dylan",30
"Reviewing supply chain logistics,Manufacturing company","Anthony, Samantha, Zachary, Zachary, Olivia",30
"Planning a direct mail campaign,Marketing company","John, Kaitlyn, Anthony, Michael",20
"Planning a mixed-use development project.,Real Estate company","Hannah, Caleb, Christopher, Christopher",16
"Attending a car audio installation workshop,Car company","Christopher, Dylan",12
"Training session on a new programming language,IT company","John, Ryan, Kevin",15
"Meeting with a mechanic for repairs,Car company","Madison, Alexandra, Nicole, Brianna, Megan",30
"Discussing employee training programs,Manufacturing company","Brandon, Dylan, Tyler, Caleb",12
"Choosing furniture for a new office space,Interior Designing","Emily, Rachel, Kayla",15
"Reviewing progress on AI ethics and regulations compliance,AI first Software company","Matthew, Stephanie",6
"Reviewing the terms of a mortgage agreement.,Real Estate company","Emily, Brianna, Anthony",12
"Meeting with investors to discuss funding opportunities,AI first Software company","Benjamin, Olivia",10
"Team building activity to improve communication and collaboration,IT company","Christopher, Ryan, Ryan, Samantha",20
"Discussing workplace diversity and inclusion,Manufacturing company","Alyssa, Rachel, Matthew",18
"Discussing the purchase of a property for a medical facility.,Real Estate company","Nicole, Alexandra",10
"Reporting a liability claim,Insurance company","John, Benjamin, Ryan, Lauren, Madison",25
"Discussing potential partnerships with other tech companies,AI first Software company","William, James, Nicole, Madison, Matthew",15
"Analyzing drug interactions,Pharmaceutical company","Matthew, Andrew",12
"Conducting a lean manufacturing workshop,Manufacturing company","Jenna, Elizabeth, Samantha, Olivia",16
"Designing a custom kitchen layout,Interior Designing","Tyler, Samantha, Rachel, Anthony, Stephanie",15
"Negotiating the sale of a waterfront property.,Real Estate company","Alexandra, Dylan, Nicholas",18
"Adding a new driver to an auto policy,Insurance company","Samantha, Ethan, Caleb, Jenna, Alyssa",30
"Discussing the purchase of a commercial property for a non-profit organization.,Real Estate company","Jenna, Justin",6
"Selecting materials for a sustainable home design,Interior Designing","Jessica, Matthew",12
"Negotiating the sale of a historic property.,Real Estate company","Nicole, Jacob, Jordan, Taylor",20
"Applying for a loan,Bank.","Justin, Dylan, Samantha",12
"Choosing wallpaper for a feature wall in a dining room,Interior Designing","John, Victoria, Ryan",15
"Planning a real estate development partnership.,Real Estate company","Benjamin, Amber, Taylor, Jacob, Nicole",30
"Designing a themed bedroom for a child,Interior Designing","Andrew, Hannah, John, Brianna",12
"Updating coverage for a new RV purchase,Insurance company","Kayla, Taylor, Madison, Dylan, Alyssa",25
"Interviewing potential new hires,IT company","Nicholas, Alyssa, Kayla, Julia, Matthew",15
"Selecting outdoor furniture for a patio,Interior Designing","Victoria, Christopher",8
"Selecting paint colors for a living room,Interior Designing","Jessica, Victoria, David",18
"Company-wide charity event planning meeting,IT company","Kaitlyn, Stephanie, Victoria",18
"Requesting a notary service,Bank.","Samantha, Joshua",10
"Creating a brand identity,Marketing company","Justin, Alyssa, Tyler, Brandon",24
"Applying for a mortgage,Bank.","Jordan, Emily, Kevin",18
"Conducting a team-building exercise.,Construstion company","Rachel, Christopher, Lauren",18
"Requesting a cashier's check,Bank.","Dylan, Brandon, Caleb, Samantha",20
"IT project management training,IT company","Madison, Dylan, Andrew, Alexandra",12
"Weekly team meeting to discuss progress and goals,IT company","Elizabeth, Christopher, Christopher",9
"Designing a luxury bathroom for a spa,Interior Designing","Anthony, Jordan, Brandon, Elizabeth",20
"Creating a customer loyalty program,Marketing company","Caleb, Hannah, Olivia, Nicole",24
"Reviewing employee performance evaluations,AI first Software company","Jacob, Nicole",10
"Reviewing the terms of a home warranty agreement.,Real Estate company","Olivia, Nicholas, Kevin",15
"IT compliance training to ensure regulatory compliance.,IT company","Kayla, Madison",8
"Reviewing progress on current projects,AI first Software company","Anthony, Taylor",10
"Conducting a sustainability audit,Manufacturing company","Kayla, Nicholas, Rachel, Emily",20
"Reviewing regulatory compliance,Pharmaceutical company","Ashley, Emily",8
"Presentation on cybersecurity best practices,IT company","Ethan, Jenna",12
"Planning a carpool for a community event,Car company","Matthew, Brandon, Olivia, Taylor",20
"Conducting a customer satisfaction survey,Manufacturing company","Hannah, Lauren, Daniel, Ryan, Michael",30
"Reviewing blueprints and designs.,Construstion company","Lauren, Michael",8
"Planning company retreat for executive team,AI first Software company","Ryan, Andrew, Victoria",15
"Discussing drug manufacturing processes,Pharmaceutical company","Kayla, Brianna",12
"Requesting a safety deposit box,Bank.","Ethan, Brandon, Ryan",15
"Choosing artwork for a gallery space,Interior Designing","Victoria, William, Elizabeth, Alyssa",12
"Reviewing progress on AI-powered customer service chatbot,AI first Software company","Hannah, Justin, John",9
"Evaluating potential acquisitions,Pharmaceutical company","Kevin, Stephanie, Christopher, Matthew",16
"Selecting lighting fixtures for a restaurant,Interior Designing","Alexandra, Brandon, Kevin",9
"Reviewing customer feedback,Pharmaceutical company","Olivia, Dylan, Justin",12
"Reviewing progress on AI research and development,AI first Software company","Lauren, Zachary, Olivia, Daniel",20
"Launch party for a new product,IT company","Rachel, Emily",8
"Conducting a site inspection.,Construstion company","Stephanie, James, Jenna",18
"Evaluating advertising effectiveness,Marketing company","Christopher, Tyler, Benjamin",9
"Discussing drug safety concerns,Pharmaceutical company","Jenna, Benjamin, Andrew, Nicholas",20
"Discussing budget and financials.,Construstion company","Andrew, Madison, John, Anthony",20
"Researching sports cars,Car company","Megan, Joshua, Victoria, Hannah",20
"Setting up a merchant account,Bank.","Benjamin, Jordan",12
"Planning a real estate investment club.,Real Estate company","Hannah, William, Kaitlyn, Taylor, Justin",25
